,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
14163,159853,Silver Palm Zinfandel,Silver Palm,USA,California,,,,Zinfandel,Petite Sirah,Barbera,,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY4,TANNIN3,0,2012,750
14166,159856,Rochioli Estate Pinot Noir,Rochioli Winery,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2013,750
14167,159860,Cakebread Two Creek Vineyards Pinot Noir,Cakebread Cellar,USA,California,Mendocino County,Anderson Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,99000,2014,750
14168,159863,"Canyon Road, Cabernet Sauvignon",Canyon Road,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,14900,2018,750
14169,159864,"Canyon Road, Merlot",Canyon Road,USA,California,,,,Merlot,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,14900,2018,750
14173,159871,Tertre Roteboeuf,Le Tertre Roteboeuf,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5~14.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,400000,2017,750
14174,159873,Chateau Mont Perat Special Selection,Chateau Mont Perat,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN4,19000,2016,750
14175,159876,Les Amants de Mont Perat Rouge,Chateau Mont Perat,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2014,750
14177,159878,Parcelle A-355 Bordeaux Rouge,Despagne,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2008,750
14178,159879,Lafite Bordeaux,Lafite Private Reserve,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN2,19000,2015,750
14179,159880,Lafite Medoc,Lafite Private Reserve,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29000,2012,750
14182,159883,Poupille,Vignobles JeanMarie Carrille,France,Bordeaux,Castillon Cotes de Bordeaux,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,60000,2014,750
14183,159884,Poupille Atypique,Vignobles JeanMarie Carrille,France,Bordeaux,Castillon Cotes de Bordeaux,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,195000,2008,750
14184,159885,Chateau Haut Cardinal Saint Emilion Grand Cru,Vignobles JeanMarie Carrille,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2010,750
14185,159887,Badie vin de table Rouge,Millesimes,France,,,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2011,750
14187,159889,Raymond Huet Michel Rolland Bordeaux Rouge,Raymond Huet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750
14188,159890,Raymond Huet Bordeaux rouge,Raymond Huet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2014,750
14189,159891,Raymond Huet Haut Medoc,Raymond Huet,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2014,750
14190,159892,Raymond Huet Saint Emilion Grand Cru,Raymond Huet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2014,750
14193,159896,"Michel Magnien, Gevrey Chambertin 'Les Seuvrees' Vieilles Vignes",Domaine Michel Magnien et Fils,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,117000,2013,750
14194,159897,"Michel Magnien, Vosne Romanee Vieilles Vignes ",Domaine Michel Magnien et Fils,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,135000,2013,750
14195,159900,"Michel Magnien, Chambolle Musigny 1er Cru 'Les Sentiers' ",Domaine Michel Magnien et Fils,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,225000,2013,750
14196,159901,"Michel Magnien, Clos de La Roche Grand Cru",Domaine Michel Magnien et Fils,France,Bourgogne,Cote de Nuits,MoreyStDenis,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,415000,2013,750
14197,159902,"Michel Magnien, Charmes Chambertin Grand Cru ",Domaine Michel Magnien et Fils,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,390000,2012,750
14199,159904,"Vincent Legou, Hautes Cotes de Nuits Rouge 'Les Beaux Monts Lussots'",Domaine Vincent Legou,France,Bourgogne,Cote de Nuits,Bourgogne Hautes Cotes de Nuits,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2013,750
14200,159905,"Vincent Legou, Beaune Rouge ",Domaine Vincent Legou,France,Pinot Noir,,,,,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2013,750
14201,159906,"Vincent Legou, Vosne Romanee ",Domaine Vincent Legou,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2013,750
14206,159916,Lestissac Medoc,GCF  GCF Group,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
14209,159921,Lestissac Saint Emilion,GCF  GCF Group,France,Bordeaux,SaintEmilion,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2015,750
14210,159922,Grand Sud Cabernet Sauvignon,Grand Sud,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN3,9980,2015,1000
14212,159924,Grand Sud Merlot,Grand Sud,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,9980,2012,1000
14214,159927,Le Riche Cabernet Sauvignon,Le Riche,the Republic of South Africa,Coastal Region,Stellenbosch,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,40000,2014,750
14215,159929,Grand Sud Syrah,Grand Sud,France,Southern France,Languedoc Roussillon,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,1000
14217,159935,Sierra Cantabria Crianaza,Sierra Cantabria,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29000,2013,750
14218,159936,Sierra Cantabria Reserva,Sierra Cantabria,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,59000,2011,750
14219,159937,Sierra Cantabria Gran Reserva,Sierra Cantabria,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,59000,2007,750
14220,159938,Sierra Cantabria Coleccion Privada,Sierra Cantabria,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,76000,2014,750
14221,159939,Sierra Cantabria El Puntido,Sierra Cantabria,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750
14222,159941,Egomei,Finca Egomei,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2013,750
14223,159942,Egomei Alma,Finca Egomei,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,99000,2009,750
14224,159952,"E.Guigal, Gigondas",E Guigal,France,Rhone,Gigondas,,,Grenache,mourvedre,Syrah & Shiraz,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,66000,2014,750
14232,159963,Weltachs Dornfelder,Weltachs,Germany,Pfalz,,,,Dornfelder,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,17500,2015,750
14241,159993,Terre di San Leonardo,Tenuta San Leonardo,Italy,TrentinoAlto Adige,,,,Cabernet Sauvignon,Merlot,Carmenere,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,30000,2014,750
14243,159995,"Piccini, Patriale",Piccini,Italy,Toscana,,,,Primitivo,Montepulciano,Nero d'Avola,Merlot,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY3,TANNIN2,15000,0,750
14245,159997,"Piccini, Nero d'Avola",Piccini,Italy,Sicilia,,,,Nero d'Avola,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2015,750
14246,159998,"Piccini, Memoro Red",Piccini,Italy,,,,,Primitivo,Montepulciano,Nero d'Avola,Merlot,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY3,TANNIN3,18000,0,750
14248,160000,"Piccini, Memoro Black",Piccini,Italy,,,,,Sangiovese,Aglianico,Cabernet Sauvignon,Nero d'Avola,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,35000,2012,750
14249,160001,"Piccini, Chianti  ",Piccini,Italy,Toscana,Chianti,,,Sangiovese,Canaiolo,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,16000,2015,750
14250,160002,"Piccini, Chianti Classico ",Piccini,Italy,Toscana,Chianti,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,27000,2014,750
14251,160003,"Piccini, Chianti Reserva 'Selezione Oro'",Piccini,Italy,Toscana,Chianti,,,Sangiovese,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,28000,2014,750
14252,160005,"Piccini, Brunello di Montalcino Riserva ",Piccini,Italy,Toscana,Montalcino,,,Sangiovese Grosso,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,118000,2011,750
14253,160006,"Piccini, Brunello di Montalcino ",Piccini,Italy,Toscana,Montalcino,,,Brunello,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,68000,2011,750
14254,160007,"Fratelli Giuliari, Amarone della Valpolicella 'Il Prognai'",Fratelli Giuliari,Italy,Veneto,Valpolicella,,,Corvina,,,,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY5,TANNIN3,259000,2006,750
14255,160008,"Fratelli Giuliari, Amarone della Valpolicella",Fratelli Giuliari,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,Molinara,Barbera,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY5,TANNIN4,58000,2013,750
14256,160009,"GD Vajra, Barbera d'Alba Superiore",GD Vijra,Italy,Piemonte,Alba,,,Barbera,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,56000,2015,750
14257,160010,"GD Vajra, Barolo Albe                    ",GD Vijra,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,67000,2012,750
14258,160011,GD Vajra Barolo Bricco delle Viole,GD Vijra,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,125000,2012,750
14259,160012,GD Vajra Langhe Freisa Kye,GD Vijra,Italy,Piemonte,Langhe,,,Freisa,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
14266,160020,"Scagliola, Frem Barbera d'Asti",Scagliola Azienda Agricola,Italy,Piemonte,Asti,,,Barbera,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,28000,2015,750
14267,160021,"Scagliola, Azord Monferrato Rosso",Scagliola Azienda Agricola,Italy,Piemonte,Monferrato,,,Barbera,Cabernet Sauvignon,Nebbiolo,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,49000,2014,750
14268,160022,"Domaine Hubert Lignier, Charmes Chambertin Grand Cru",Domaine Hubert Lignier,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~18,SWEET1,ACIDITY4,BODY4,TANNIN3,1000000,2014,750
14269,160023,"Domaine Hubert Lignier, Chambolle Musigny 1er Cru Les Chabiots",Domaine Hubert Lignier,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,600000,2014,750
14270,160024,Hubert Lignier Morey Saint Denis Les Chafforts,Domaine Hubert Lignier,France,Bourgogne,Cote de Nuits,MoreyStDenis,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,0,750
14271,160025,"Domaine Hubert Lignier, Bourgogne Rouge",Domaine Hubert Lignier,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,130000,2015,750
14272,160026,"Domaine Hubert Lignier, Gevrey Chambertin 1er Cru La Perriere",Domaine Hubert Lignier,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,560000,2014,750
14273,160027,"Domaine Hubert Lignier, Gevrey Chambertin La Justice",Domaine Hubert Lignier,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,290000,2014,750
14274,160028,"Solitude, Chateauneuf du Pape Cuvee Barberini",Domaine de La Solitude,France,Rhone,ChateauneufduPape,,,Grenache Noir,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,250000,2014,750
14276,160030,"Solitude, Chateauneuf du Pape Tradition Rouge",Domaine de La Solitude,France,Rhone,ChateauneufduPape,,,Grenache Noir,Syrah & Shiraz,mourvedre,Cinsault,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2014,750
14279,160036,"E.Guigal, Ermitage Ex-Voto Rouge",E Guigal,France,Rhone,Hermitage,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN5,690000,2010,750
14280,160037,"Les Cailloux, Cuvee Du Centenaire",Domaine Les Cailloux  Andre Brunel,France,Rhone,ChateauneufduPape,,,Grenache,mourvedre,,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY5,TANNIN4,670000,2015,750
14281,160038,"Les Cailloux, Chateauneuf du Pape Rouge",Domaine Les Cailloux  Andre Brunel,France,Rhone,ChateauneufduPape,,,Grenache,mourvedre,Syrah & Shiraz,Cinsault,,,,,,,,,Red,Table,14,16~19,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2015,750
14283,160040,"Les Cailloux, Cuvee Sommelongue",Domaine Les Cailloux  Andre Brunel,France,Rhone,ChateauneufduPape,,,Grenache,mourvedre,Syrah & Shiraz,Cinsault,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
14284,160042,"Domaine Robert Groffier, Chambolle Musigny 1er Cru Les Amoureuse",Domaine Robert Groffier,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,1700000,2015,750
14285,160043,"Domaine Robert Groffier, Chambolle Musigny 1er Cru Les Sentiers",Domaine Robert Groffier,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,910000,2015,750
14286,160044,"Domaine Robert Groffier, Chambolle Musigny 1er Cru Les Haut Doix ",Domaine Robert Groffier,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,870000,2015,750
14287,160045,"Domaine Robert Groffier, Gevrey Chambertin Les Seuvrees",Domaine Robert Groffier,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,420000,2015,750
14288,160046,"Domaine Robert Groffier, Bourgogne Pinot Noir",Domaine Robert Groffier,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2015,750
14291,160055,"Pago de los Capellanes, El Picon",Pago de los Capellanes,Spain,Ribera del Duero,,,,Tempranillo,,,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY5,TANNIN4,500000,2014,750
14292,160056,"Pago de los Capellanes, El Nogal",Pago de los Capellanes,Spain,Ribera del Duero,,,,Tempranillo,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,244000,2015,750
14293,160057,"Pago de los Capellanes, Reserva",Pago de los Capellanes,Spain,Ribera del Duero,,,,Tempranillo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750
14294,160058,"Pago de los Capellanes, Crianza",Pago de los Capellanes,Spain,Ribera del Duero,,,,Tempranillo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
14295,160061,Cims de Porrera Classic Carinyena,Cims de Porrera,Spain,Catalunya,Priorat,,,Carinena,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2015,750
14296,160064,Grattamacco Bolgheri Rosso,Grattamacco,Italy,Toscana,Bolgheri,,,Cabernet Sauvignon,Merlot,Sangiovese,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2014,750
14297,160065,"Grattamacco, Bolgheri Rosso Superiore ",Grattamacco,Italy,Toscana,Bolgheri,,,Cabernet Sauvignon,Cabernet Franc,Merlot,Sangiovese,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,180000,2013,750
14298,160068,"Poggio di Sotto, Brunello di Montalcino",Poggio Di Sotto,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,390000,2011,750
14299,160069,Elio Altare Barolo Arborina,Elio Altare,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,0,0,750
14300,160071,"Elio Altare, Langhe Rosso Arborina",Elio Altare,Italy,Piemonte,Langhe,,,Nebbiolo,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2009,750
14301,160072,Elio Altare Barolo Cerretta Vigna Bricco,Elio Altare,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,0,2012,750
14303,160074,"Passopisciaro, Passorosso",Passopisciaro,Italy,Sicilia,,,,Nerello Mascalese,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750
14304,160075,"Passopisciaro, Contrada Chiappenmacine",Passopisciaro,Italy,Sicilia,,,,Nerello Mascalese,,,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750
14305,160077,"Passopisciaro, Contrada Guardiola",Passopisciaro,Italy,Sicilia,,,,Nerello Mascalese,,,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750
14306,160079,Passopisciaro Franchetti,Passopisciaro,Italy,Sicilia,,,,Petit Verdot,Cesanese,,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY2,BODY4,TANNIN4,600000,2016,750
14307,160080,L?섲venture Optimus,LAventure,USA,California,,,,Syrah & Shiraz,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,Red,Table,15~16,16~19,SWEET1,ACIDITY4,BODY4,TANNIN5,130000,2012,750
14308,160082,L?섲venture Cote A Cote,LAventure,USA,California,,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,230000,2012,750
14309,160083,L?섲venture Estate Cuvee,LAventure,USA,California,,,,Cabernet Sauvignon,Syrah & Shiraz,Petit Verdot,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,230000,2012,750
14310,160084,"Gemstone, Estate Red",Gemstone Vineyard,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,220000,2011,750
14312,160087,Etude Carneros Pinot Noir,Etude,USA,California,Napa County,Napa Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN2,0,0,750
14313,160088,Etude Napa Valley Cabernet Sauvignon,Etude,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,0,750
14314,160091,Clos des Papes Chateauneuf du Pape Rouge,Clos des Papes,France,Rhone,ChateauneufduPape,,,Grenache,mourvedre,Syrah & Shiraz,Vaccarese,Counoise,Muscardin,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,270000,2014,750
14315,160095,"Prats & Symington, Chryseia",Prats  Symington,Portugal,Douro,,,,Touriga Nacional,Touriga Franca,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,180000,2013,750
14317,160097,"Prats & Symington, Post Scriptum",Prats  Symington,Portugal,Douro,,,,Touriga Nacional,Touriga Franca,Tinta Barroca,Tinta Roriz,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,87000,2014,750
14318,160098,"Prats & Symington, Prazo de Roriz",Prats  Symington,Portugal,Douro,,,,Tinta Barroca,Tinta Roriz,Tinta Franca,Touriga Nacional,Touriga Franca,Etc,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2014,750
14325,160121,"Louis Jadot, Volnay 1er Cru ?쁂los de la Barre??Monopole",Louis Jadot,France,Bourgogne,Cote de Beaune,Volnay,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,145000,2009,750
14326,160122,"Louis Jadot, Beaune Greves 1er Cru 'Clos des Ursules' Monopole",Louis Jadot,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2010,750
14331,160129,"Louis Jadot, Bourgogne Rouge Couvent des Jacobins",Louis Jadot,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,29900,2012,750
14332,160130,"Louis Jadot, Coteaux Bourguignons",Louis Jadot,France,Bourgogne,,,,Gamay,Pinot Noir,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,30000,2014,750
14334,160134,"Jayer Gilles, Cote de Nuits Villages",Jayer Gilles,France,Bourgogne,Cote de Nuits,Cote de NuitsVillages,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,120000,2012,750
14335,160136,"Jayer Gilles, Echezeaux du Dessus Grand Cru",Jayer Gilles,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2012,750
14336,160137,"Meo Camuzet, Bourgogne Rouge",Domaine Meo Camuzet,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY5,BODY3,TANNIN2,95000,2017,750
14337,160140,"Meo Camuzet, Fixin 'Clos du Chapitre'",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,Fixin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY5,BODY3,TANNIN2,0,2017,750
14338,160141,"Meo Camuzet, Gevrey Chambertin",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2017,750
14339,160143,"Meo Camuzet, Nuits Saint Georges 1er Cru 'Aux Boudots'",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,420000,2017,750
14340,160144,"Meo Camuzet, Clos de Vougeot Grand Cru   ",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,Vougeot,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,630000,2013,750
