,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
5948,147310,"Damilano, Barolo",Damilano,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2014,750
5949,147311,"Conterno Fantino, Barolo Sori Ginestra",Conterno Fantino,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2008,750
5950,147312,Speri Amarone della Valpolicella Classico 'Vigneto Monte Sant'Urbano',Speri Viticoltori,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,Molinara,,,,,,,,,,Red,Table,15,16~18,SWEET2,ACIDITY3,BODY5,TANNIN4,176000,2013,750
5951,147313,"Tenuta Monteti, Caburnio",Tenuta Monteti,Italy,Toscana,,,,Cabernet Sauvignon,Alicante Bouschet,Merlot,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
5952,147314,"Poliziano, Morellino di Scansano",Poliziano Azienda Agricola Poliziano,Italy,Toscana,,,,Sangiovese,Ciliegiolo,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY2,BODY4,TANNIN3,60000,2016,750
5953,147315,"Poliziano, In Violas Cortona",Poliziano Azienda Agricola Poliziano,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,80000,2014,750
5954,147318,"Argiano, Rosso di Montalcino",Argiano,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
5955,147319,"Caprili, Rosso di Montalcino",Caprili,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2010,750
5956,147320,"La Rasina, Rosso di Montalcino",La Rasina,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
5957,147321,"La Serena, Rosso di Montalcino",La Serena,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,77000,2016,750
5958,147322,"Poliziano, Rosso di Montepulciano",Poliziano Azienda Agricola Poliziano,Italy,Toscana,Montepulciano,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,49000,2016,750
5959,147326,"San Giusto a Rentennano, Chianti Classico Riserva 'Le Baroncole'",San Giusto a Rentennano,Italy,Toscana,Chianti,,,Sangiovese,Canaiolo,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2015,750
